snapshot_time,history_id,alert_id,route_id,direction_id,title,description,alert_type,first_seen,last_seen,duration_hours,active_flag,inactive_detected_at,occurrence_index,observation_count,route_match_status
2026-09-26T06:57:08.562282+00:00,SF_15854|18|ALL|5,SF_15854,18,,18 STOP TEMP. CLOSED Board at Clement & Legion of Honor,18 STOP TEMP. CLOSED Board at Clement & Legion of Honor,STOP_MOVED,2026-09-25T12:08:31.868725+00:00,2026-09-26T06:57:08.562282+00:00,18.81,True,,5,44,MATCHED
2026-09-26T06:57:08.562282+00:00,SF_15857|29|ALL|5,SF_15857,29,,29 STOP TEMP. MOVED Board on other side of California,29 STOP TEMP. MOVED Board on other side of California,STOP_MOVED,2026-09-25T12:08:31.868725+00:00,2026-09-26T06:57:08.562282+00:00,18.81,True,,5,44,MATCHED
2026-09-26T05:44:58.373753+00:00,SF_13205|2|ALL|8,SF_13205,2,,2 STOP TEMP. MOVED Board at Hyde OR Polk,2 STOP TEMP. MOVED Board at Hyde OR Polk,STOP_MOVED,2026-09-25T13:02:56.166460+00:00,2026-09-26T01:54:46.090942+00:00,12.864,False,2026-09-26T05:44:58.373753+00:00,8,36,MATCHED
2026-09-26T05:44:58.373753+00:00,SF_15519|12|ALL|8,SF_15519,12,,12 STOP TEMP. MOVED Board at Folsom & Mabini,12 STOP TEMP. MOVED Board at Folsom & Mabini,STOP_MOVED,2026-09-25T13:02:56.166460+00:00,2026-09-26T01:54:46.090942+00:00,12.864,False,2026-09-26T05:44:58.373753+00:00,8,36,MATCHED
2026-09-26T05:44:58.373753+00:00,SF_15520|12|ALL|8,SF_15520,12,,12 STOP TEMP. MOVED Board at Folsom/2nd OR Folsom/4th,12 STOP TEMP. MOVED Board at Folsom/2nd OR Folsom/4th,STOP_MOVED,2026-09-25T13:02:56.166460+00:00,2026-09-26T01:54:46.090942+00:00,12.864,False,2026-09-26T05:44:58.373753+00:00,8,36,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15385|5R|ALL|6,SF_15385,5R,,"5, 5R STOP TEMP. MOVED Board midblock btwn 30th & 31st","5, 5R STOP TEMP. MOVED Board midblock btwn 30th & 31st",STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,6,27,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15385|5|ALL|6,SF_15385,5,,"5, 5R STOP TEMP. MOVED Board midblock btwn 30th & 31st","5, 5R STOP TEMP. MOVED Board midblock btwn 30th & 31st",STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,6,27,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15386|5R|ALL|6,SF_15386,5R,,"5, 5R STOP TEMP. MOVED Board midblock btwn 30th & 29th","5, 5R STOP TEMP. MOVED Board midblock btwn 30th & 29th",STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,6,27,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15386|5|ALL|6,SF_15386,5,,"5, 5R STOP TEMP. MOVED Board midblock btwn 30th & 29th","5, 5R STOP TEMP. MOVED Board midblock btwn 30th & 29th",STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,6,27,MATCHED
2026-09-25T23:14:38.041531+00:00,SF_15659|31|ALL|6,SF_15659,31,,31 STOP TEMP. MOVED Board on the other side of Jones,31 STOP TEMP. MOVED Board on the other side of Jones,STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T22:56:34.427833+00:00,8.703,False,2026-09-25T23:14:38.041531+00:00,6,24,MATCHED
2026-09-26T06:03:08.772768+00:00,SF_15679|PM|ALL|8,SF_15679,PM,,Cable Car STOP TEMP. MOVED Board: other side of Broadway,Cable Car STOP TEMP. MOVED Board: other side of Broadway,STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-26T05:44:58.373753+00:00,15.509,False,2026-09-26T06:03:08.772768+00:00,8,33,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15796|9R|ALL|6,SF_15796,9R,,"9, 9R STOP TEMP. MOVED Board: Sunnydale/Desmond","9, 9R STOP TEMP. MOVED Board: Sunnydale/Desmond",STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,6,27,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15796|9|ALL|6,SF_15796,9,,"9, 9R STOP TEMP. MOVED Board: Sunnydale/Desmond","9, 9R STOP TEMP. MOVED Board: Sunnydale/Desmond",STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,6,27,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15816|43|ALL|5,SF_15816,43,,"6, 43 STOP TEMP. MOVED Board at Parnassus/5th","6, 43 STOP TEMP. MOVED Board at Parnassus/5th",STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,5,27,MATCHED
